timestamp,pupil_hardware_timestamp,event_count,active_model,num_bins,total_samples,current_rmse
1774885045.931825266,0.0,0,Bias,0,0,0.0
1774885046.448076672,0.0,0,Bias,0,0,0.0
1774885059.748615934,0.0,0,ACTION_RESET_RESUME,0,0,0.0
1774885069.796741179,1774884579.848419904,4,Bias,2,100,17.471027444670288
1774885073.853217934,1774884585.243863105,6,ACTION_RESET_RESUME,0,0,0.0
1774885116.379969242,1774884627.553323030,23,Bias,4,200,19.054151433806524
1774885122.171072546,1774884631.036756992,26,ACTION_RESET_RESUME,0,0,0.0
1774885172.532595259,1774884682.914308071,45,Linear,5,208,47.037463350167855
1774885312.963794818,1774884822.398523092,104,ACTION_RESET_RESUME,0,0,0.0
1774885379.296033408,1774884872.408770084,117,Linear,7,350,18.285747365250646
1774885380.121331805,1774884872.408770084,117,ACTION_RESET_RESUME,0,0,0.0
1774885537.581828748,1774885049.262228012,179,ACTION_RESET_RESUME,0,0,0.0
