Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,X,
-12,14,21,-14,-21,209,2,133,0,1,0,0,0,0,C3
-10,14,21,-14,-21,209,-26.5,133,0,1,0,0,0,1,D3
-8,14,21,-14,-21,209,-55,133,0,1,0,0,0,2,E3
-7,14,21,-14,-21,209,-83.5,133,0,1,0,0,0,3,F3
-5,14,21,-14,-21,209,-112,133,0,1,0,0,0,4,G3
-3,14,21,-14,-21,209,-140.5,133,0,1,0,0,0,5,A3
-1,14,21,-14,-21,209,-169,133,0,1,0,0,0,6,B3
0,14,21,-14,-21,209,-197.5,133,0,1,0,0,0,7,C4
2,14,21,-14,-21,209,-226,133,0,1,0,0,0,9,
4,14,21,-14,-21,209,-254.5,133,0,1,0,0,0,10,
5,14,21,-14,-21,209,-283,133,0,1,0,0,0,11,
7,14,21,-14,-21,209,-311.5,133,0,1,0,0,0,12,
9,14,21,-14,-21,209,-340,133,0,1,0,0,0,13,
11,14,21,-14,-21,209,-368.5,133,0,1,0,0,0,14,
-12,14,21,-14,-21,210,2,-44,0,1,0,0,0,0,C3
-10,14,21,-14,-21,210,-26.5,-44,0,1,0,0,0,1,D3
-8,14,21,-14,-21,210,-55,-44,0,1,0,0,0,2,E3
-7,14,21,-14,-21,210,-83.5,-44,0,1,0,0,0,3,F3
-5,14,21,-14,-21,210,-112,-44,0,1,0,0,0,4,G3
-3,14,21,-14,-21,210,-140.5,-44,0,1,0,0,0,5,A3
-1,14,21,-14,-21,210,-169,-44,0,1,0,0,0,6,B3
0,14,21,-14,-21,210,-197.5,-44,0,1,0,0,0,7,C4
2,14,21,-14,-21,210,-226,-44,0,1,0,0,0,9,
4,14,21,-14,-21,210,-254.5,-44,0,1,0,0,0,10,
5,14,21,-14,-21,210,-283,-44,0,1,0,0,0,11,
7,14,21,-14,-21,210,-311.5,-44,0,1,0,0,0,12,
9,14,21,-14,-21,210,-340,-44,0,1,0,0,0,13,
11,14,21,-14,-21,210,-368.5,-44,0,1,0,0,0,14,
-12,14,21,-14,-21,208,184,133,0,1,0,0,0,0,C3
-10,14,21,-14,-21,208,155.5,133,0,1,0,0,0,1,D3
-8,14,21,-14,-21,208,127,133,0,1,0,0,0,2,E3
-7,14,21,-14,-21,208,98.5,133,0,1,0,0,0,3,F3
-5,14,21,-14,-21,208,70,133,0,1,0,0,0,4,G3
-3,14,21,-14,-21,208,41.5,133,0,1,0,0,0,5,A3
-1,14,21,-14,-21,208,13,133,0,1,0,0,0,6,B3
0,14,21,-14,-21,208,-15.5,133,0,1,0,0,0,7,C4
2,14,21,-14,-21,208,-44,133,0,1,0,0,0,9,
4,14,21,-14,-21,208,-72.5,133,0,1,0,0,0,10,
5,14,21,-14,-21,208,-101,133,0,1,0,0,0,11,
7,14,21,-14,-21,208,-129.5,133,0,1,0,0,0,12,
9,14,21,-14,-21,208,-158,133,0,1,0,0,0,13,
11,14,21,-14,-21,208,-186.5,133,0,1,0,0,0,14,
-12,14,21,-14,-21,207,184,-44,0,1,0,0,0,0,C3
-10,14,21,-14,-21,207,155.5,-44,0,1,0,0,0,1,D3
-8,14,21,-14,-21,207,127,-44,0,1,0,0,0,2,E3
-7,14,21,-14,-21,207,98.5,-44,0,1,0,0,0,3,F3
-5,14,21,-14,-21,207,70,-44,0,1,0,0,0,4,G3
-3,14,21,-14,-21,207,41.5,-44,0,1,0,0,0,5,A3
-1,14,21,-14,-21,207,13,-44,0,1,0,0,0,6,B3
0,14,21,-14,-21,207,-15.5,-44,0,1,0,0,0,7,C4
2,14,21,-14,-21,207,-44,-44,0,1,0,0,0,9,
4,14,21,-14,-21,207,-72.5,-44,0,1,0,0,0,10,
5,14,21,-14,-21,207,-101,-44,0,1,0,0,0,11,
7,14,21,-14,-21,207,-129.5,-44,0,1,0,0,0,12,
9,14,21,-14,-21,207,-158,-44,0,1,0,0,0,13,
11,14,21,-14,-21,207,-186.5,-44,0,1,0,0,0,14,
-12,14,21,-14,-21,211,365.5,133,0,1,0,0,0,0,C3
-10,14,21,-14,-21,211,337,133,0,1,0,0,0,1,D3
-8,14,21,-14,-21,211,308.5,133,0,1,0,0,0,2,E3
-7,14,21,-14,-21,211,280,133,0,1,0,0,0,3,F3
-5,14,21,-14,-21,211,251.5,133,0,1,0,0,0,4,G3
-3,14,21,-14,-21,211,223,133,0,1,0,0,0,5,A3
-1,14,21,-14,-21,211,194.5,133,0,1,0,0,0,6,B3
0,14,21,-14,-21,211,166,133,0,1,0,0,0,7,C4
2,14,21,-14,-21,211,137.5,133,0,1,0,0,0,9,
4,14,21,-14,-21,211,109,133,0,1,0,0,0,10,
5,14,21,-14,-21,211,80.5,133,0,1,0,0,0,11,
7,14,21,-14,-21,211,52,133,0,1,0,0,0,12,
9,14,21,-14,-21,211,23.5,133,0,1,0,0,0,13,
11,14,21,-14,-21,211,-5,133,0,1,0,0,0,14,
-12,14,21,-14,-21,212,365.5,-44,0,1,0,0,0,0,C3
-10,14,21,-14,-21,212,337,-44,0,1,0,0,0,1,D3
-8,14,21,-14,-21,212,308.5,-44,0,1,0,0,0,2,E3
-7,14,21,-14,-21,212,280,-44,0,1,0,0,0,3,F3
-5,14,21,-14,-21,212,251.5,-44,0,1,0,0,0,4,G3
-3,14,21,-14,-21,212,223,-44,0,1,0,0,0,5,A3
-1,14,21,-14,-21,212,194.5,-44,0,1,0,0,0,6,B3
0,14,21,-14,-21,212,166,-44,0,1,0,0,0,7,C4
2,14,21,-14,-21,212,137.5,-44,0,1,0,0,0,9,
4,14,21,-14,-21,212,109,-44,0,1,0,0,0,10,
5,14,21,-14,-21,212,80.5,-44,0,1,0,0,0,11,
7,14,21,-14,-21,212,52,-44,0,1,0,0,0,12,
9,14,21,-14,-21,212,23.5,-44,0,1,0,0,0,13,
11,14,21,-14,-21,212,-5,-44,0,1,0,0,0,14,
-11,16,40,-16,-40,209,-7,69,-5,1,0,0,0,1,C3#
-9,16,40,-16,-40,209,-36,69,-5,1,0,0,0,1,D3#
-6,16,40,-16,-40,209,-94,69,-5,1,0,0,0,1,F3#
-4,16,40,-16,-40,209,-123,69,-5,1,0,0,0,1,G3#
-2,16,40,-16,-40,209,-152,69,-5,1,0,0,0,1,A3#
1,16,40,-16,-40,209,-210,69,-5,1,0,0,0,1,C4#
3,16,40,-16,-40,209,-239,69,-5,1,0,0,0,1,D4#
6,16,40,-16,-40,209,-297,69,-5,1,0,0,0,1,F4#
8,16,40,-16,-40,209,-326,69,-5,1,0,0,0,1,G4#
10,16,40,-16,-40,209,-355,69,-5,1,0,0,0,1,A4#
