Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx,
S2Y_+1,32,48,-32,-32,205,-64,-128,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,32,32,-32,-48,205,-64,0,0,1,0,0,0,Down,S1Y_-1
S2X_-1,32,32,-48,-32,205,0,-64,0,1,0,0,0,Left,S1X_-1
S2X_+1,48,32,-32,-32,205,-128,-64,0,1,0,0,0,Right,S1X_+1
X,32,32,-32,-32,205,-64,-64,0,1,0,0,0,Grab,
TR,32,32,-32,-32,209,64,-32,0,1,0,0,0,Farther,
TL,32,32,-32,-32,209,64,32,0,1,0,0,0,Closer,
S2Y_+1,32,48,-32,-32,210,64,0,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,32,32,-32,-48,210,64,128,0,1,0,0,0,Down,S1Y_-1
S2X_-1,32,32,-48,-32,210,128,64,0,1,0,0,0,Left,S1X_-1
S2X_+1,48,32,-32,-32,210,0,64,0,1,0,0,0,Right,S1X_+1
A,32,32,-32,-32,209,-64,32,0,1,0,0,0,Open,
B,32,32,-32,-32,209,-64,-32,0,1,0,0,0,Close,
S2Y_+1,32,48,-32,-32,207,0,-64,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,32,32,-32,-32,207,0,64,0,1,0,0,0,Down,S1Y_-1
S2X_-1,32,32,-48,-32,207,-64,0,0,1,0,0,0,Left,S1X_-1
S2X_+1,48,32,-32,-32,207,64,0,0,1,0,0,0,Right,S1X_+1
