Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx,
S1Y_+1,18,18,-18,-18,21,0,-40,0,1,0,0,0,UpInk,S1Y_+1
S1Y_-1,18,18,-18,-18,21,0,40,0,1,0,0,0,DownInk,S1Y_-1
S1X_-1,18,18,-18,-18,21,-40,0,0,1,0,0,0,LeftInk,S1X_-1
S1X_+1,18,18,-18,-18,21,40,0,0,1,0,0,0,RightInk,S1X_+1
S1Y_+1,18,18,-18,-18,20,-40,0,0,1,0,0,0,UpInk,S1Y_+1
S1Y_-1,18,18,-18,-18,20,-40,80,0,1,0,0,0,DownInk,S1Y_-1
S1X_-1,18,18,-18,-18,20,-80,40,0,1,0,0,0,LeftInk,S1X_-1
S1X_+1,18,18,-18,-18,20,0,40,0,1,0,0,0,RightInk,S1X_+1
S1Y_+1,18,18,-18,-18,22,40,-80,0,1,0,0,0,UpInk,S1Y_+1
S1Y_-1,18,18,-18,-18,22,40,0,0,1,0,0,0,DownInk,S1Y_-1
S1X_-1,18,18,-18,-18,22,0,-40,0,1,0,0,0,LeftInk,S1X_-1
S1X_+1,18,18,-18,-18,22,80,-40,0,1,0,0,0,RightInk,S1X_+1
TR,18,18,-18,-18,23,40,0,0,1,0,0,0,CloserInk,
TL,18,18,-18,-18,23,-40,0,0,1,0,0,0,FartherInk,
X,18,18,-18,-18,23,0,40,0,1,0,0,0,Switch,
A,18,18,-18,-18,24,-40,0,0,1,0,0,0,CloserInk,
B,18,18,-18,-18,24,40,0,0,1,0,0,0,Openink,
X,18,18,-18,-18,24,0,40,0,1,0,0,0,Switch,
