Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4
0,11,54,-11,-54,311,13,89,0,1,0,0,0
2,11,54,-11,-54,311,-9.66666666666667,89,0,1,0,0,0
4,11,54,-11,-54,311,-32.3333333333333,89,0,1,0,0,0
5,11,54,-11,-54,311,-55,89,0,1,0,0,0
7,11,54,-11,-54,311,-77.6666666666667,89,0,1,0,0,0
9,11,54,-11,-54,311,-100.333333333333,89,0,1,0,0,0
11,11,54,-11,-54,311,-123,89,0,1,0,0,0
0,11,54,-11,-54,310,13,-88,0,1,0,0,0
2,11,54,-11,-54,310,-9.66666666666667,-88,0,1,0,0,0
4,11,54,-11,-54,310,-32.3333333333333,-88,0,1,0,0,0
5,11,54,-11,-54,310,-55,-88,0,1,0,0,0
7,11,54,-11,-54,310,-77.6666666666667,-88,0,1,0,0,0
9,11,54,-11,-54,310,-100.333333333333,-88,0,1,0,0,0
11,11,54,-11,-54,310,-123,-88,0,1,0,0,0
Test A,16,16,-16,-16,309,-49,70,0,1,0,0,0
Test A,16,16,-16,-16,312,-49,0,0,1,0,0,0
Test B,16,16,-16,-16,309,-98,70,0,1,0,0,0
Test B,16,16,-16,-16,312,-98,0,0,1,0,0,0
