Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx,
S1Y_+1,12,16,-16,-16,21,0,-50,0,1,0,0,0,UpInk,S1Y_+1
S1Y_-1,16,16,-16,-16,21,0,50,0,1,0,0,0,DownInk,S1Y_-1
S1X_-1,16,16,-16,-16,21,-50,0,0,1,0,0,0,LeftInk,S1X_-1
S1X_+1,16,16,-16,-16,21,50,0,0,1,0,0,0,RightInk,S1X_+1
S1Y_+1,16,16,-16,-16,20,-50,0,0,1,0,0,0,UpInk,S1Y_+1
S1Y_-1,16,16,-16,-16,20,-50,100,0,1,0,0,0,DownInk,S1Y_-1
S1X_-1,16,16,-16,-16,20,-100,50,0,1,0,0,0,LeftInk,S1X_-1
S1X_+1,16,16,-16,-16,20,0,50,0,1,0,0,0,RightInk,S1X_+1
S1Y_+1,16,16,-16,-16,22,50,-100,0,1,0,0,0,UpInk,S1Y_+1
S1Y_-1,16,16,-16,-16,22,50,0,0,1,0,0,0,DownInk,S1Y_-1
S1X_-1,16,16,-16,-16,22,0,-50,0,1,0,0,0,LeftInk,S1X_-1
S1X_+1,16,16,-16,-16,22,100,-50,0,1,0,0,0,RightInk,S1X_+1
TR,16,16,-16,-16,23,50,0,0,1,0,0,0,CloserInk,
TL,16,16,-16,-16,23,-50,0,0,1,0,0,0,FartherInk,
X,16,16,-16,-16,23,60,60,0,1,0,0,0,Switch,
A,16,16,-16,-16,24,-50,0,0,1,0,0,0,CloserInk,
B,16,16,-16,-16,24,50,0,0,1,0,0,0,Openink,
X,16,16,-16,-16,24,60,60,0,1,0,0,0,Switch,
a,4.08,8.16,-4.08,-8.16,27,-16.32,48.96,0,1,0,0,0,a,
b,4.08,8.16,-4.08,-8.16,27,-24.48,48.96,0,1,0,0,0,b,
c,4.08,8.16,-4.08,-8.16,27,-32.64,48.96,0,1,0,0,0,c,
d,4.08,8.16,-4.08,-8.16,27,-40.8,48.96,0,1,0,0,0,d,
e,4.08,8.16,-4.08,-8.16,27,-48.96,48.96,0,1,0,0,0,e,
f,4.08,8.16,-4.08,-8.16,27,-57.12,48.96,0,1,0,0,0,f,
g,4.08,8.16,-4.08,-8.16,27,-65.28,48.96,0,1,0,0,0,g,
h,4.08,8.16,-4.08,-8.16,27,-73.44,48.96,0,1,0,0,0,h,
i,4.08,8.16,-4.08,-8.16,27,-81.6,48.96,0,1,0,0,0,i,
j,4.08,8.16,-4.08,-8.16,27,-89.76,48.96,0,1,0,0,0,j,
k,4.08,8.16,-4.08,-8.16,27,-97.92,48.96,0,1,0,0,0,k,
l,4.08,8.16,-4.08,-8.16,27,-106.08,48.96,0,1,0,0,0,l,
m,4.08,8.16,-4.08,-8.16,27,-114.24,48.96,0,1,0,0,0,m,
n,4.08,8.16,-4.08,-8.16,27,-16.32,65.28,0,1,0,0,0,n,
o,4.08,8.16,-4.08,-8.16,27,-24.48,65.28,0,1,0,0,0,o,
