timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1779376742.557181373,1779376224.775990009,0,2,UpHybridRe,Bias,14.866235391026436,14.866235391026436,14.866235391026436,14.866235391026436,14.866235391026436,14.866235391026436,14.866235391026436,14.866235391026436
1779376743.493275386,1779376225.686573982,1,2,UpHybridRe,Bias,14.063627307766822,10.052067253241775,10.052067253241775,10.052067253241775,10.052067253241775,10.052067253241775,10.052067253241775,10.052067253241775
1779376743.941287207,1779376226.137073994,2,2,UpHybridRe,Bias,14.459988247089276,9.004735137601712,9.004735137601712,9.004735137601712,9.004735137601712,9.004735137601712,9.004735137601712,9.004735137601712
1779376744.392909778,1779376226.657452106,3,2,UpHybridRe,Bias,14.247669160117457,8.077449871024928,8.077449871024928,8.077449871024928,8.077449871024928,8.077449871024928,8.077449871024928,8.077449871024928
1779376744.796548022,1779376227.047830105,4,2,UpHybridRe,Bias,14.510094551825329,7.912247487396671,7.912247487396671,7.912247487396671,7.912247487396671,7.912247487396671,7.912247487396671,7.912247487396671
1779376745.276770330,1779376227.498330116,5,2,UpHybridRe,Bias,14.281338761363813,7.425109913124686,7.425109913124686,7.425109913124686,7.425109913124686,7.425109913124686,7.425109913124686,7.425109913124686
1779376746.246415313,1779376228.494086981,6,2,UpHybridRe,Bias,14.324966901091857,7.214993919017904,7.214993919017904,7.214993919017904,7.214993919017904,7.214993919017904,7.214993919017904,7.214993919017904
1779376746.836254884,1779376229.069597960,7,2,UpHybridRe,Bias,14.30279753984994,7.118656384434223,7.118656384434223,7.118656384434223,7.118656384434223,7.118656384434223,7.118656384434223,7.118656384434223
1779376747.790681081,1779376230.020464897,8,2,UpHybridRe,Bias,14.269988250172117,6.932896831666444,6.932896831666444,6.932896831666444,6.932896831666444,6.932896831666444,6.932896831666444,6.932896831666444
1779376748.548562442,1779376230.771219969,9,2,UpHybridRe,Bias,14.270331149471795,6.799269187206822,6.799269187206822,6.799269187206822,6.799269187206822,6.799269187206822,6.799269187206822,6.799269187206822
1779376749.428263183,1779376231.602467060,10,3,UpHybridRe,Bias,14.250717363743876,6.751610862961955,6.751610862961955,6.751610862961955,6.751610862961955,6.751610862961955,6.751610862961955,6.751610862961955
1779376750.392504761,1779376232.668467045,11,3,UpHybridRe,Bias,14.408469255128127,6.7548166534100575,6.7548166534100575,6.7548166534100575,6.7548166534100575,6.7548166534100575,6.7548166534100575,6.7548166534100575
1779376750.768778375,1779376233.028723001,12,3,UpHybridRe,Bias,14.225975344735096,6.729480681318235,6.729480681318235,6.729480681318235,6.729480681318235,6.729480681318235,6.729480681318235,6.729480681318235
1779376751.202533236,1779376233.469212055,13,3,UpHybridRe,Bias,14.363373018502461,6.7488018522764985,6.7488018522764985,6.7488018522764985,6.7488018522764985,6.7488018522764985,6.7488018522764985,6.7488018522764985
1779376751.553815715,1779376233.844466925,14,3,UpHybridRe,Bias,14.376571086027065,6.726496661280762,6.726496661280762,6.726496661280762,6.726496661280762,6.726496661280762,6.726496661280762,6.726496661280762
1779376751.983707995,1779376234.254530907,15,3,UpHybridRe,Bias,14.334179206733985,6.873711888594853,6.873711888594853,6.873711888594853,6.873711888594853,6.873711888594853,6.873711888594853,6.873711888594853
1779376753.285894607,1779376235.520786047,16,3,UpHybridRe,Bias,14.375510297039073,6.8477241373912845,6.8477241373912845,6.8477241373912845,6.8477241373912845,6.8477241373912845,6.8477241373912845,6.8477241373912845
1779376754.230048035,1779376236.341531038,17,3,UpHybridRe,Bias,14.370298743284142,6.8310736096635605,6.8310736096635605,6.8310736096635605,6.8310736096635605,6.8310736096635605,6.8310736096635605,6.8310736096635605
1779376755.060857997,1779376237.287728071,18,3,UpHybridRe,Bias,14.345762134501285,6.777958824143721,6.777958824143721,6.777958824143721,6.777958824143721,6.777958824143721,6.777958824143721,6.777958824143721
1779376756.068333000,1779376238.193484068,19,3,UpHybridRe,Bias,14.283735022688735,6.748131460770722,6.748131460770722,6.748131460770722,6.748131460770722,6.748131460770722,6.748131460770722,6.748131460770722
1779376757.908040835,1779376240.105240107,20,3,UpHybridRe,Bias,14.303466279150204,6.741635856473675,6.741635856473675,6.741635856473675,6.741635856473675,6.741635856473675,6.741635856473675,6.741635856473675
1779376758.288172318,1779376240.505850077,21,3,UpHybridRe,Bias,14.361315089300422,6.691143285221895,6.691143285221895,6.691143285221895,6.691143285221895,6.691143285221895,6.691143285221895,6.691143285221895
