timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Radial Complete,Conic
1779474398.625553508,1779473815.458192110,0,2,LeftHybridRe,Bias,18.46379386228228,18.46379386228228,18.46379386228228,18.46379386228228,18.46379386228228,18.46379386228228,18.46379386228228
1779474408.286889786,1779473824.982170105,1,2,LeftHybridRe,Bias,13.84494266290825,7.621074197171665,7.621074197171665,7.621074197171665,7.621074197171665,7.621074197171665,7.621074197171665
1779474410.377794391,1779473827.209304094,2,2,LeftHybridRe,Bias,7.120290939370041,8.228532320976212,8.228532320976212,8.228532320976212,8.228532320976212,8.228532320976212,8.228532320976212
1779474412.301941472,1779473829.170670033,3,3,FartherHybridRe,Bias,10.08797769424937,2.6098467280489692,2.6098467280489692,2.6098467280489692,2.6098467280489692,2.6098467280489692,2.6098467280489692
1779474413.334029902,1779473829.846302986,4,3,FartherHybridRe,Bias,8.665701588226288,2.961579431095754,2.961579431095754,2.961579431095754,2.961579431095754,2.961579431095754,2.961579431095754
1779474418.204910983,1779473835.061238050,5,3,FartherHybridRe,Bias,7.406431715682637,17.125310452051096,17.125310452051096,17.125310452051096,17.125310452051096,17.125310452051096,17.125310452051096
1779474424.698673567,1779473841.336652040,6,5,LeftHybridRe,Radial Concentric,9.503074498299931,13.577028088878205,13.577028088878205,13.577028088878205,13.577028088878205,13.577028088878205,13.577028088878205
1779474427.480890025,1779473844.364559889,7,7,LeftHybridRe,Radial Concentric,15.732076047462224,13.369186983889568,13.369186983889568,10.76955529178352,13.369186983889568,13.369186983889568,13.369186983889568
1779474427.983954525,1779473844.905071020,8,7,LeftHybridRe,Radial Concentric,100.70885554120999,99.43443774573936,99.43443774573936,100.33651087733136,99.41280750083651,99.43443774573936,99.43443774573936
1779474428.927636727,1779473845.836443901,9,8,A,Radial Concentric,27.427561969455542,23.547070384809846,23.547070384809846,20.12385996724657,23.197166509875643,23.547070384809846,23.547070384809846
1779474430.337467702,1779473847.222688913,10,9,B,Radial Concentric,18.305836633526965,18.138542597030774,18.138542597030774,15.678433426265821,18.120790778331155,18.138542597030774,18.138542597030774
1779474431.703022652,1779473848.619131088,11,9,B,Radial Concentric,19.138081592947174,14.495096506082797,14.495096506082797,12.766869111594536,14.358060563601502,14.495096506082797,14.495096506082797
1779474436.321747898,1779473853.152576923,12,10,FartherHybridRe,Radial Concentric,17.800204588505668,12.477131893004803,12.477131893004803,12.745347790682263,12.097747137602438,12.477131893004803,12.477131893004803
1779474436.675333321,1779473853.648077011,13,10,FartherHybridRe,Radial Concentric,127.84189212807298,125.9271581972479,125.9271581972479,135.13232087567786,126.1287000928575,125.9271581972479,125.9271581972479
1779474437.771121371,1779473854.694545031,14,11,DownHybridRe,Radial Concentric,18.295969351661682,10.032656188606788,10.032656188606788,8.543883621458756,10.151133804198569,10.032656188606788,10.032656188606788
1779474439.406375862,1779473856.290923119,15,11,A,Radial Concentric,23.918775946708156,16.83417355253342,16.83417355253342,12.416114729629783,15.545662055311817,16.83417355253342,16.83417355253342
1779474441.483181442,1779473858.332537889,16,11,A,Radial Concentric,24.038529277277974,16.502170698803674,16.502170698803674,12.150036473207702,15.171010340215538,16.502170698803674,16.502170698803674
1779474441.986699671,1779473858.828027010,17,11,A,Radial Concentric,173.29665796102515,172.27754275233454,172.27754275233454,183.09380358349026,172.33887107266165,172.27754275233454,172.27754275233454
1779474443.993901363,1779473860.889681101,18,11,UpHybridRe,Radial Concentric,18.611392902229333,12.85953987427469,12.85953987427469,14.531123993502337,12.595732039170972,12.85953987427469,12.85953987427469
1779474447.763854264,1779473864.623905897,19,11,RightHybridRe,Radial Concentric,8.742559436142054,3.3055252230458936,3.3055252230458936,3.731156968759415,3.285591660196691,3.3055252230458936,3.3055252230458936
1779474448.348409578,1779473865.069283962,20,11,RightHybridRe,Radial Concentric,100.99286742638337,104.18035410271487,104.18035410271487,113.30005715180694,103.80701693605926,104.18035410271487,104.18035410271487
1779474452.857758672,1779473869.658066988,21,12,CloserHybridRe,Radial Concentric,4.96231710462282,6.3423210099053255,6.3423210099053255,4.643297418352147,6.5099551099045625,6.3423210099053255,6.3423210099053255
1779474455.329743947,1779473872.225433111,22,12,CloserHybridRe,Radial Concentric,8.985924537684571,4.911550062905036,4.911550062905036,6.434064073814161,4.911864629098609,4.911550062905036,4.911550062905036
