timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781026322.774638270,1781026325.446399927,79,27,Simple Radial,758,13.439566570244832
1781026338.294931437,1781026344.708586931,83,ACTION_RESET_RESUME,0,0,0.0
1781026348.787345361,1781026355.899334908,85,2,Bias,41,6.6532030741658
1781026358.898047784,1781026365.502803087,88,ACTION_RESET_RESUME,0,0,0.0
1781026386.539517473,1781026390.857204914,98,8,Radial Concentric,124,13.664750654687705
1781026399.836839230,1781026390.857204914,98,ACTION_RESET_RESUME,0,0,0.0
1781026423.586949767,1781026422.010993004,102,7,Raw,62,38.79362659444366
1781026436.623263029,1781026441.979177952,104,ACTION_RESET_RESUME,0,0,0.0
1781026491.283079258,1781026494.151951075,123,15,Radial Concentric,324,16.408544528924125
1781026504.453920197,1781026494.151951075,123,ACTION_RESET_RESUME,0,0,0.0
1781026566.231392973,1781026566.153162956,130,9,Radial Concentric,83,16.18442562355003
1781026578.176251149,1781026566.153162956,130,ACTION_RESET_RESUME,0,0,0.0
1781026658.287062020,1781026655.810975075,138,7,Radial Concentric,169,23.459116954193735
1781026669.518853471,1781026676.084336996,140,ACTION_RESET_RESUME,0,0,0.0
1781026691.044991411,1781026691.448539019,143,ACTION_RESET_RESUME,0,0,0.0
