timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781027201.721358591,1781027206.458688974,48,18,Linear,706,12.965030830789562
1781027221.176964567,1781027214.116050005,50,ACTION_RESET_RESUME,0,0,0.0
1781027255.805016805,1781027259.166969061,60,8,Radial Concentric,200,10.975357566007277
1781027268.319197892,1781027259.166969061,60,ACTION_RESET_RESUME,0,0,0.0
1781027431.585083353,1781027436.740478992,106,17,Radial Concentric,460,17.46007410707854
1781027443.476898723,1781027450.748699903,108,ACTION_RESET_RESUME,0,0,0.0
1781027466.049355452,1781027463.039913893,113,4,Bias,123,8.483251332502212
1781027475.677870570,1781027463.039913893,113,ACTION_RESET_RESUME,0,0,0.0
1781027504.797534876,1781027506.004452944,114,1,Bias,17,7.900598626011449
1781027515.940682985,1781027521.134140015,116,ACTION_RESET_RESUME,0,0,0.0
1781027625.353523624,1781027633.411834002,146,24,Simple Radial,511,19.383226708751085
1781027634.952704929,1781027633.411834002,146,ACTION_RESET_RESUME,0,0,0.0
1781027649.177681468,1781027657.304126978,153,10,Radial Concentric,193,18.619661771380333
1781027663.581653259,1781027670.857155085,157,ACTION_RESET_RESUME,0,0,0.0
1781027735.090330455,1781027734.585153103,178,ACTION_RESET_RESUME,0,0,0.0
